id,V,A,D
Acephalous-Cant-believe_4_47,3,4,3
Acephalous-Cant-believe_4_47,4,3,3
Acephalous-Cant-believe_4_47,3,4,3
Acephalous-Cant-believe_4_47,3,3,3
Acephalous-Cant-believe_4_47,3,3,3
Acephalous-Cant-believe_83_354,2,4,4
Acephalous-Cant-believe_83_354,3,3,4
Acephalous-Cant-believe_83_354,2,4,3
Acephalous-Cant-believe_83_354,2,4,4
Acephalous-Cant-believe_83_354,2,4,4
Acephalous-Cant-believe_355_499,4,3,4
Acephalous-Cant-believe_355_499,4,3,4
Acephalous-Cant-believe_355_499,3,3,3
Acephalous-Cant-believe_355_499,4,4,4
Acephalous-Cant-believe_355_499,3,4,4
Acephalous-Cant-believe_500_515,3,3,3
Acephalous-Cant-believe_500_515,3,3,3
Acephalous-Cant-believe_500_515,3,3,3
Acephalous-Cant-believe_500_515,3,3,3
Acephalous-Cant-believe_500_515,3,4,2
Acephalous-Cant-believe_517_626,3,3,3
Acephalous-Cant-believe_517_626,3,3,3
Acephalous-Cant-believe_517_626,3,3,3
Acephalous-Cant-believe_517_626,3,3,3
Acephalous-Cant-believe_517_626,3,3,4
Acephalous-Cant-believe_627_817,2,3,1
Acephalous-Cant-believe_627_817,3,2,2
Acephalous-Cant-believe_627_817,3,3,3
Acephalous-Cant-believe_627_817,3,3,3
Acephalous-Cant-believe_627_817,3,3,3
Acephalous-Cant-believe_819_984,3,3,2
Acephalous-Cant-believe_819_984,3,3,3
Acephalous-Cant-believe_819_984,3,3,3
Acephalous-Cant-believe_819_984,3,3,3
Acephalous-Cant-believe_819_984,3,3,3
Acephalous-Cant-believe_986_1160,3,4,2
Acephalous-Cant-believe_986_1160,3,3,4
Acephalous-Cant-believe_986_1160,3,3,3
Acephalous-Cant-believe_986_1160,3,3,3
Acephalous-Cant-believe_986_1160,3,3,4
Acephalous-Cant-believe_1162_1229,2,4,4
Acephalous-Cant-believe_1162_1229,3,3,4
Acephalous-Cant-believe_1162_1229,3,3,3
Acephalous-Cant-believe_1162_1229,3,3,3
Acephalous-Cant-believe_1162_1229,3,3,4
Acephalous-Cant-believe_1266_1336,2,3,2
Acephalous-Cant-believe_1266_1336,3,3,3
Acephalous-Cant-believe_1266_1336,3,3,3
Acephalous-Cant-believe_1266_1336,2,3,3
Acephalous-Cant-believe_1266_1336,2,3,3
Acephalous-Cant-believe_1337_1409,2,3,2
Acephalous-Cant-believe_1337_1409,3,3,3
Acephalous-Cant-believe_1337_1409,2,3,3
Acephalous-Cant-believe_1337_1409,2,3,3
Acephalous-Cant-believe_1337_1409,3,3,3
Acephalous-Cant-believe_1410_1424,3,3,3
Acephalous-Cant-believe_1410_1424,3,3,3
Acephalous-Cant-believe_1410_1424,3,3,3
Acephalous-Cant-believe_1410_1424,3,3,3
Acephalous-Cant-believe_1410_1424,3,3,4
Acephalous-Cant-believe_1426_1520,3,3,3
Acephalous-Cant-believe_1426_1520,3,3,4
Acephalous-Cant-believe_1426_1520,4,3,3
Acephalous-Cant-believe_1426_1520,4,4,3
Acephalous-Cant-believe_1426_1520,5,4,3
Acephalous-Cant-believe_1521_1574,3,3,2
Acephalous-Cant-believe_1521_1574,3,3,4
Acephalous-Cant-believe_1521_1574,3,3,3
Acephalous-Cant-believe_1521_1574,3,3,3
Acephalous-Cant-believe_1521_1574,3,3,5
Acephalous-Cant-believe_1575_1667,2,4,3
Acephalous-Cant-believe_1575_1667,3,3,4
Acephalous-Cant-believe_1575_1667,3,4,4
Acephalous-Cant-believe_1575_1667,1,4,4
Acephalous-Cant-believe_1575_1667,4,4,3
Acephalous-Cant-believe_1726_1817,3,3,3
Acephalous-Cant-believe_1726_1817,3,3,3
Acephalous-Cant-believe_1726_1817,3,3,3
Acephalous-Cant-believe_1726_1817,3,3,3
Acephalous-Cant-believe_1726_1817,3,3,4
Acephalous-Cant-believe_1818_2022,3,3,3
Acephalous-Cant-believe_1818_2022,3,3,3
Acephalous-Cant-believe_1818_2022,3,3,3
Acephalous-Cant-believe_1818_2022,3,3,3
Acephalous-Cant-believe_1818_2022,3,3,3
Acephalous-Cant-believe_2023_2191,3,2,3
Acephalous-Cant-believe_2023_2191,4,4,2
Acephalous-Cant-believe_2023_2191,3,3,3
Acephalous-Cant-believe_2023_2191,3,3,3
Acephalous-Cant-believe_2023_2191,3,3,3
Acephalous-Cant-believe_2192_2221,3,4,3
Acephalous-Cant-believe_2192_2221,4,4,3
Acephalous-Cant-believe_2192_2221,3,3,3
Acephalous-Cant-believe_2192_2221,4,4,3
Acephalous-Cant-believe_2192_2221,2,3,3
Acephalous-Cant-believe_2281_2572,3,2,3
Acephalous-Cant-believe_2281_2572,3,2,2
Acephalous-Cant-believe_2281_2572,3,3,3
Acephalous-Cant-believe_2281_2572,3,3,3
Acephalous-Cant-believe_2281_2572,3,3,4
Acephalous-Cant-believe_2573_2641,3,3,3
Acephalous-Cant-believe_2573_2641,3,3,3
Acephalous-Cant-believe_2573_2641,3,3,3
Acephalous-Cant-believe_2573_2641,3,3,3
Acephalous-Cant-believe_2573_2641,3,3,4
Acephalous-Cant-believe_2642_2690,3,3,3
Acephalous-Cant-believe_2642_2690,4,3,3
Acephalous-Cant-believe_2642_2690,4,3,3
Acephalous-Cant-believe_2642_2690,4,3,3
Acephalous-Cant-believe_2642_2690,3,3,3
Acephalous-Cant-believe_2692_2836,3,4,3
Acephalous-Cant-believe_2692_2836,4,4,4
Acephalous-Cant-believe_2692_2836,4,3,3
Acephalous-Cant-believe_2692_2836,4,4,3
Acephalous-Cant-believe_2692_2836,4,4,3
Acephalous-Cant-believe_2840_2928,3,3,3
Acephalous-Cant-believe_2840_2928,3,3,3
Acephalous-Cant-believe_2840_2928,3,3,3
Acephalous-Cant-believe_2840_2928,3,3,3
Acephalous-Cant-believe_2840_2928,3,3,3
Acephalous-Cant-believe_2985_3022,3,3,4
Acephalous-Cant-believe_2985_3022,3,3,3
Acephalous-Cant-believe_2985_3022,3,3,3
Acephalous-Cant-believe_2985_3022,4,3,4
Acephalous-Cant-believe_2985_3022,3,3,2
Acephalous-Cant-believe_3023_3152,4,4,4
Acephalous-Cant-believe_3023_3152,3,3,4
Acephalous-Cant-believe_3023_3152,3,3,3
Acephalous-Cant-believe_3023_3152,3,3,3
Acephalous-Cant-believe_3023_3152,4,4,4
Acephalous-Cant-believe_3215_3283,3,3,3
Acephalous-Cant-believe_3215_3283,3,3,3
Acephalous-Cant-believe_3215_3283,3,3,3
Acephalous-Cant-believe_3215_3283,3,3,3
Acephalous-Cant-believe_3215_3283,3,3,3
Acephalous-Cant-believe_3342_3496,3,2,2
Acephalous-Cant-believe_3342_3496,3,3,3
Acephalous-Cant-believe_3342_3496,3,3,3
Acephalous-Cant-believe_3342_3496,3,3,3
Acephalous-Cant-believe_3342_3496,3,3,4
Acephalous-Cant-believe_3497_3547,4,4,2
Acephalous-Cant-believe_3497_3547,3,3,4
Acephalous-Cant-believe_3497_3547,3,3,3
Acephalous-Cant-believe_3497_3547,3,3,3
Acephalous-Cant-believe_3497_3547,4,3,4
Acephalous-Internet_29_105,3,3,3
Acephalous-Internet_29_105,3,3,3
Acephalous-Internet_29_105,3,3,3
Acephalous-Internet_29_105,3,3,3
Acephalous-Internet_29_105,3,3,3
Acephalous-Internet_107_317,4,4,4
Acephalous-Internet_107_317,4,4,4
Acephalous-Internet_107_317,3,3,3
Acephalous-Internet_107_317,4,4,3
Acephalous-Internet_107_317,4,4,3
Acephalous-Internet_319_388,3,3,3
Acephalous-Internet_319_388,3,3,4
Acephalous-Internet_319_388,3,3,3
Acephalous-Internet_319_388,3,3,4
Acephalous-Internet_319_388,4,3,4
Acephalous-Internet_390_553,3,3,3
Acephalous-Internet_390_553,3,3,3
Acephalous-Internet_390_553,4,3,3
Acephalous-Internet_390_553,3,3,3
Acephalous-Internet_390_553,4,4,3
Acephalous-Internet_554_745,3,3,3
Acephalous-Internet_554_745,3,3,3
Acephalous-Internet_554_745,3,3,3
Acephalous-Internet_554_745,3,3,3
Acephalous-Internet_554_745,3,3,3
Acephalous-Internet_746_1108,4,4,3
Acephalous-Internet_746_1108,4,4,4
Acephalous-Internet_746_1108,3,3,3
Acephalous-Internet_746_1108,4,4,3
Acephalous-Internet_746_1108,3,3,3
Acephalous-Internet_1108_1269,3,4,4
Acephalous-Internet_1108_1269,3,3,3
Acephalous-Internet_1108_1269,3,3,3
Acephalous-Internet_1108_1269,3,3,3
Acephalous-Internet_1108_1269,4,4,4
Acephalous-Internet_1270_1472,3,3,3
Acephalous-Internet_1270_1472,3,3,3
Acephalous-Internet_1270_1472,3,3,3
Acephalous-Internet_1270_1472,3,3,3
Acephalous-Internet_1270_1472,3,3,3
Acephalous-Internet_1473_1658,3,3,3
Acephalous-Internet_1473_1658,2,2,3
Acephalous-Internet_1473_1658,3,3,3
Acephalous-Internet_1473_1658,3,4,3
Acephalous-Internet_1473_1658,3,3,4
Acephalous-Internet_1659_1776,3,3,3
Acephalous-Internet_1659_1776,3,3,4
Acephalous-Internet_1659_1776,3,3,3
Acephalous-Internet_1659_1776,2,2,3
Acephalous-Internet_1659_1776,3,4,4
Acephalous-Internet_1782_1794,3,3,3
Acephalous-Internet_1782_1794,3,3,3
Acephalous-Internet_1782_1794,3,3,3
Acephalous-Internet_1782_1794,3,3,3
Acephalous-Internet_1782_1794,3,3,3
Acephalous-Internet_1795_1799,5,4,5
Acephalous-Internet_1795_1799,4,4,3
Acephalous-Internet_1795_1799,4,4,3
Acephalous-Internet_1795_1799,4,4,3
Acephalous-Internet_1795_1799,4,4,3
Acephalous-Internet_1800_1835,3,4,4
Acephalous-Internet_1800_1835,3,3,4
Acephalous-Internet_1800_1835,3,3,3
Acephalous-Internet_1800_1835,3,3,3
Acephalous-Internet_1800_1835,3,3,3
Acephalous-Internet_1836_1911,2,3,3
Acephalous-Internet_1836_1911,2,3,3
Acephalous-Internet_1836_1911,2,3,3
Acephalous-Internet_1836_1911,1,1,3
Acephalous-Internet_1836_1911,2,4,4
Acephalous-Internet_1912_2036,3,3,3
Acephalous-Internet_1912_2036,3,3,3
Acephalous-Internet_1912_2036,3,3,3
Acephalous-Internet_1912_2036,3,3,3
Acephalous-Internet_1912_2036,3,4,3
Acephalous-Internet_2095_2234,3,3,3
Acephalous-Internet_2095_2234,3,3,3
Acephalous-Internet_2095_2234,3,3,3
Acephalous-Internet_2095_2234,3,3,3
Acephalous-Internet_2095_2234,3,3,4
Acephalous-Internet_2235_2298,2,3,2
Acephalous-Internet_2235_2298,3,3,4
Acephalous-Internet_2235_2298,3,3,3
Acephalous-Internet_2235_2298,3,3,3
Acephalous-Internet_2235_2298,2,3,4
Acephalous-Internet_2299_2485,3,3,3
Acephalous-Internet_2299_2485,3,3,4
Acephalous-Internet_2299_2485,3,3,3
Acephalous-Internet_2299_2485,3,3,3
Acephalous-Internet_2299_2485,3,3,3
Acephalous-Internet_2486_2550,3,3,3
Acephalous-Internet_2486_2550,3,3,4
Acephalous-Internet_2486_2550,3,3,3
Acephalous-Internet_2486_2550,3,3,3
Acephalous-Internet_2486_2550,3,3,3
Acephalous-Internet_2551_2597,4,4,3
Acephalous-Internet_2551_2597,3,3,3
Acephalous-Internet_2551_2597,4,3,3
Acephalous-Internet_2551_2597,3,3,3
Acephalous-Internet_2551_2597,3,3,4
Acephalous-Internet_2652_2750,2,4,3
Acephalous-Internet_2652_2750,3,3,4
Acephalous-Internet_2652_2750,2,3,3
Acephalous-Internet_2652_2750,3,3,3
Acephalous-Internet_2652_2750,2,3,5
Acephalous-Internet_2752_2842,2,3,3
Acephalous-Internet_2752_2842,3,3,3
Acephalous-Internet_2752_2842,3,3,3
Acephalous-Internet_2752_2842,3,3,3
Acephalous-Internet_2752_2842,3,3,3
Acephalous-Internet_2845_2974,2,3,2
Acephalous-Internet_2845_2974,3,3,3
Acephalous-Internet_2845_2974,3,3,3
Acephalous-Internet_2845_2974,3,3,3
Acephalous-Internet_2845_2974,2,3,3
Acephalous-Internet_3039_3135,3,3,3
Acephalous-Internet_3039_3135,3,3,4
Acephalous-Internet_3039_3135,3,3,3
Acephalous-Internet_3039_3135,3,3,3
Acephalous-Internet_3039_3135,3,3,3
Acephalous-Internet_3201_3237,3,3,2
Acephalous-Internet_3201_3237,3,3,3
Acephalous-Internet_3201_3237,3,3,3
Acephalous-Internet_3201_3237,3,3,3
Acephalous-Internet_3201_3237,4,4,3
Acephalous-Internet_3238_3258,2,2,3
Acephalous-Internet_3238_3258,2,3,3
Acephalous-Internet_3238_3258,2,4,3
Acephalous-Internet_3238_3258,2,4,3
Acephalous-Internet_3238_3258,2,3,3
Acephalous-Internet_3320_3487,3,3,3
Acephalous-Internet_3320_3487,3,3,4
Acephalous-Internet_3320_3487,3,3,3
Acephalous-Internet_3320_3487,3,3,3
Acephalous-Internet_3320_3487,3,3,3
Acephalous-Internet_3488_3514,3,3,3
Acephalous-Internet_3488_3514,3,3,3
Acephalous-Internet_3488_3514,3,3,3
Acephalous-Internet_3488_3514,4,4,5
Acephalous-Internet_3488_3514,3,3,3
Acephalous-Internet_3515_3545,2,1,2
Acephalous-Internet_3515_3545,2,2,3
Acephalous-Internet_3515_3545,2,3,3
Acephalous-Internet_3515_3545,2,3,3
Acephalous-Internet_3515_3545,4,3,3
Acephalous-Internet_3546_3594,3,3,2
Acephalous-Internet_3546_3594,3,3,4
Acephalous-Internet_3546_3594,3,3,3
Acephalous-Internet_3546_3594,3,3,3
Acephalous-Internet_3546_3594,3,3,4
Acephalous-Internet_3653_3671,2,4,2
Acephalous-Internet_3653_3671,3,3,3
Acephalous-Internet_3653_3671,3,3,3
Acephalous-Internet_3653_3671,3,3,3
Acephalous-Internet_3653_3671,3,3,3
Acephalous-Internet_3728_3829,3,3,3
Acephalous-Internet_3728_3829,3,3,4
Acephalous-Internet_3728_3829,3,3,3
Acephalous-Internet_3728_3829,3,3,3
Acephalous-Internet_3728_3829,3,3,3
Acephalous-Internet_3830_3982,3,3,3
Acephalous-Internet_3830_3982,3,3,3
Acephalous-Internet_3830_3982,3,3,3
Acephalous-Internet_3830_3982,2,4,3
Acephalous-Internet_3830_3982,4,3,3
Acephalous-Internet_3983_4198,3,3,3
Acephalous-Internet_3983_4198,3,3,4
Acephalous-Internet_3983_4198,3,3,3
Acephalous-Internet_3983_4198,4,4,3
Acephalous-Internet_3983_4198,3,4,3
Acephalous-Internet_4199_4253,3,3,1
Acephalous-Internet_4199_4253,3,3,3
Acephalous-Internet_4199_4253,3,3,3
Acephalous-Internet_4199_4253,2,3,3
Acephalous-Internet_4199_4253,3,4,3
Acephalous-Internet_4256_4321,3,3,4
Acephalous-Internet_4256_4321,3,3,4
Acephalous-Internet_4256_4321,3,3,3
Acephalous-Internet_4256_4321,2,4,3
Acephalous-Internet_4256_4321,1,4,5
Anti-Terrorist_4_65,3,3,3
Anti-Terrorist_4_65,3,3,3
Anti-Terrorist_4_65,3,3,3
Anti-Terrorist_4_65,3,3,3
Anti-Terrorist_4_65,2,4,4
Anti-Terrorist_68_120,3,3,3
Anti-Terrorist_68_120,3,3,3
Anti-Terrorist_68_120,3,3,3
Anti-Terrorist_68_120,3,3,3
Anti-Terrorist_68_120,3,3,3
Anti-Terrorist_123_233,3,4,3
Anti-Terrorist_123_233,3,3,3
Anti-Terrorist_123_233,3,3,3
Anti-Terrorist_123_233,3,3,3
Anti-Terrorist_123_233,3,3,3
Anti-Terrorist_239_270,3,3,3
Anti-Terrorist_239_270,3,3,3
Anti-Terrorist_239_270,3,4,3
Anti-Terrorist_239_270,3,3,3
Anti-Terrorist_239_270,3,3,3
Anti-Terrorist_272_408,2,4,2
Anti-Terrorist_272_408,2,3,3
Anti-Terrorist_272_408,3,3,3
Anti-Terrorist_272_408,1,3,3
Anti-Terrorist_272_408,2,4,4
Anti-Terrorist_409_531,2,3,1
Anti-Terrorist_409_531,2,3,3
Anti-Terrorist_409_531,3,3,3
Anti-Terrorist_409_531,1,3,3
Anti-Terrorist_409_531,3,3,3
Anti-Terrorist_532_697,3,3,2
Anti-Terrorist_532_697,2,3,3
Anti-Terrorist_532_697,3,3,3
Anti-Terrorist_532_697,3,3,3
Anti-Terrorist_532_697,4,3,3
Anti-Terrorist_698_837,2,3,1
Anti-Terrorist_698_837,2,3,3
Anti-Terrorist_698_837,3,3,3
Anti-Terrorist_698_837,2,4,3
Anti-Terrorist_698_837,2,4,4
Anti-Terrorist_838_1024,3,3,2
Anti-Terrorist_838_1024,2,3,3
Anti-Terrorist_838_1024,3,3,3
Anti-Terrorist_838_1024,2,4,3
Anti-Terrorist_838_1024,2,3,4
Anti-Terrorist_1025_1135,2,4,1
Anti-Terrorist_1025_1135,2,3,3
Anti-Terrorist_1025_1135,3,3,3
Anti-Terrorist_1025_1135,3,4,3
Anti-Terrorist_1025_1135,2,3,4
Anti-Terrorist_1136_1254,3,3,2
Anti-Terrorist_1136_1254,3,3,3
Anti-Terrorist_1136_1254,3,3,3
Anti-Terrorist_1136_1254,3,3,3
Anti-Terrorist_1136_1254,2,3,3
Anti-Terrorist_1255_1425,3,3,3
Anti-Terrorist_1255_1425,2,4,3
Anti-Terrorist_1255_1425,3,3,3
Anti-Terrorist_1255_1425,2,4,3
Anti-Terrorist_1255_1425,3,3,4
Anti-Terrorist_1426_1479,3,3,2
Anti-Terrorist_1426_1479,3,3,3
Anti-Terrorist_1426_1479,3,3,3
Anti-Terrorist_1426_1479,3,3,3
Anti-Terrorist_1426_1479,3,3,3
Anti-Terrorist_1480_1488,3,4,4
Anti-Terrorist_1480_1488,3,4,3
Anti-Terrorist_1480_1488,3,4,3
Anti-Terrorist_1480_1488,1,5,5
Anti-Terrorist_1480_1488,3,4,3
Anti-Terrorist_1489_1520,3,4,3
Anti-Terrorist_1489_1520,3,3,3
Anti-Terrorist_1489_1520,3,4,3
Anti-Terrorist_1489_1520,1,4,1
Anti-Terrorist_1489_1520,3,3,3
Anti-Terrorist_1521_1567,3,2,3
Anti-Terrorist_1521_1567,3,3,4
Anti-Terrorist_1521_1567,3,3,3
Anti-Terrorist_1521_1567,3,3,3
Anti-Terrorist_1521_1567,3,3,3
Anti-Terrorist_1568_1810,2,3,1
Anti-Terrorist_1568_1810,3,3,4
Anti-Terrorist_1568_1810,3,3,3
Anti-Terrorist_1568_1810,1,3,1
Anti-Terrorist_1568_1810,2,4,4
Anti-Terrorist_1812_1901,3,3,1
Anti-Terrorist_1812_1901,3,3,3
Anti-Terrorist_1812_1901,3,3,3
Anti-Terrorist_1812_1901,3,3,3
Anti-Terrorist_1812_1901,3,3,3
Anti-Terrorist_1902_1988,3,3,2
Anti-Terrorist_1902_1988,3,3,4
Anti-Terrorist_1902_1988,3,3,3
Anti-Terrorist_1902_1988,2,4,3
Anti-Terrorist_1902_1988,3,4,4
Anti-Terrorist_1989_2031,2,4,4
Anti-Terrorist_1989_2031,3,3,3
Anti-Terrorist_1989_2031,3,3,3
Anti-Terrorist_1989_2031,2,3,3
Anti-Terrorist_1989_2031,2,4,5
Anti-Terrorist_2032_2130,2,2,1
Anti-Terrorist_2032_2130,2,3,4
Anti-Terrorist_2032_2130,2,3,3
Anti-Terrorist_2032_2130,1,4,3
Anti-Terrorist_2032_2130,1,3,4
Anti-Terrorist_2131_2273,1,4,1
Anti-Terrorist_2131_2273,2,3,3
Anti-Terrorist_2131_2273,3,3,3
Anti-Terrorist_2131_2273,1,5,4
Anti-Terrorist_2131_2273,2,3,4
Anti-Terrorist_2274_2389,2,3,2
Anti-Terrorist_2274_2389,3,3,4
Anti-Terrorist_2274_2389,3,3,3
Anti-Terrorist_2274_2389,3,3,3
Anti-Terrorist_2274_2389,3,3,3
Anti-Terrorist_2391_2411,3,4,2
Anti-Terrorist_2391_2411,3,3,3
Anti-Terrorist_2391_2411,2,4,2
Anti-Terrorist_2391_2411,1,4,1
Anti-Terrorist_2391_2411,3,3,2
Anti-Terrorist_2413_2431,3,3,2
Anti-Terrorist_2413_2431,3,3,3
Anti-Terrorist_2413_2431,3,5,3
Anti-Terrorist_2413_2431,1,3,3
Anti-Terrorist_2413_2431,1,4,3
Anti-Terrorist_2433_2590,3,3,3
Anti-Terrorist_2433_2590,3,3,3
Anti-Terrorist_2433_2590,3,4,3
Anti-Terrorist_2433_2590,3,3,3
Anti-Terrorist_2433_2590,3,3,3
Anti-Terrorist_2669_2828,2,3,2
Anti-Terrorist_2669_2828,2,2,3
Anti-Terrorist_2669_2828,3,3,3
Anti-Terrorist_2669_2828,1,3,5
Anti-Terrorist_2669_2828,2,4,4
Anti-Terrorist_2830_2852,3,3,3
Anti-Terrorist_2830_2852,3,3,3
Anti-Terrorist_2830_2852,3,5,3
Anti-Terrorist_2830_2852,1,3,5
Anti-Terrorist_2830_2852,2,4,4
Anti-Terrorist_2854_2932,3,3,4
Anti-Terrorist_2854_2932,3,3,4
Anti-Terrorist_2854_2932,3,5,3
Anti-Terrorist_2854_2932,3,3,3
Anti-Terrorist_2854_2932,3,3,4
Anti-Terrorist_2933_3013,3,3,2
Anti-Terrorist_2933_3013,3,3,4
Anti-Terrorist_2933_3013,3,3,3
Anti-Terrorist_2933_3013,3,3,3
Anti-Terrorist_2933_3013,2,3,4
Anti-Terrorist_3016_3174,3,3,2
Anti-Terrorist_3016_3174,3,3,4
Anti-Terrorist_3016_3174,3,3,3
Anti-Terrorist_3016_3174,3,4,4
Anti-Terrorist_3016_3174,2,3,4
Anti-Terrorist_3175_3220,3,4,2
Anti-Terrorist_3175_3220,3,3,3
Anti-Terrorist_3175_3220,3,3,3
Anti-Terrorist_3175_3220,3,3,3
Anti-Terrorist_3175_3220,2,3,4
Anti-Terrorist_3221_3284,3,3,1
Anti-Terrorist_3221_3284,3,3,3
Anti-Terrorist_3221_3284,3,3,3
Anti-Terrorist_3221_3284,3,3,3
Anti-Terrorist_3221_3284,3,3,3
Anti-Terrorist_3287_3656,3,3,3
Anti-Terrorist_3287_3656,3,3,4
Anti-Terrorist_3287_3656,3,3,3
Anti-Terrorist_3287_3656,2,4,4
Anti-Terrorist_3287_3656,3,4,4
Anti-Terrorist_3658_3885,2,3,2
Anti-Terrorist_3658_3885,2,3,4
Anti-Terrorist_3658_3885,2,3,3
Anti-Terrorist_3658_3885,2,4,3
Anti-Terrorist_3658_3885,3,3,3
Anti-Terrorist_3886_4028,3,3,3
Anti-Terrorist_3886_4028,3,3,3
Anti-Terrorist_3886_4028,3,3,3
Anti-Terrorist_3886_4028,2,4,3
Anti-Terrorist_3886_4028,3,2,3
Anti-Terrorist_4031_4279,3,3,3
