"id","V","A","D","stdV","stdA","stdD","N"
"110CYL068_1036_1079","3.0","3.2","3.0","0.0","0.4","0.0","5"
"110CYL068_1079_1110","2.6","3.0","2.6","0.49","0.63","0.49","5"
"110CYL068_1110_1127","2.0","2.33","2.33","1.41","0.47","0.47","3"
"110CYL068_1127_1130","3.0","3.0","3.0","0.0","0.0","0.0","2"
"110CYL068_1137_1188","3.6","3.0","3.4","0.8","0.63","0.49","5"
"110CYL068_1189_1328","3.67","3.17","3.67","0.75","0.69","0.75","6"
"110CYL068_1329_1475","3.4","3.2","3.2","0.49","0.4","0.4","5"
"110CYL068_1475_1558","3.6","3.0","4.0","1.02","1.1","0.63","5"
"110CYL068_1559_1601","2.6","3.0","3.0","0.49","0.0","0.0","5"
"110CYL068_1608_1658","3.2","3.2","3.2","0.4","0.4","0.4","5"
"110CYL068_163_275","3.67","2.67","3.0","0.47","1.25","0.0","3"
"110CYL068_1659_1810","3.2","3.0","3.0","0.75","0.0","0.0","5"
"110CYL068_18_24","3.0","2.0","3.0","0.0","0.82","0.82","3"
"110CYL068_1811_1946","3.4","2.8","3.2","0.49","0.4","0.4","5"
"110CYL068_1946_1997","3.17","3.5","3.0","0.69","0.5","0.58","6"
"110CYL068_2004_2039","3.2","3.2","3.2","0.75","0.75","0.4","5"
"110CYL068_2040_2141","3.6","3.2","3.2","0.49","0.4","0.4","5"
"110CYL068_2141_2194","2.67","3.0","3.33","0.47","0.0","0.47","3"
"110CYL068_2195_2216","2.6","3.6","2.8","0.8","0.49","0.4","5"
"110CYL068_2216_2266","3.33","3.0","3.67","0.47","0.0","0.47","3"
"110CYL068_2273_2373","3.6","3.4","3.4","0.49","0.49","0.49","5"
"110CYL068_2374_2413","3.4","3.2","3.0","0.49","0.4","0.0","5"
"110CYL068_2420_2501","3.6","3.4","3.4","0.49","0.49","0.49","5"
"110CYL068_2508_2518","3.33","2.67","3.33","0.47","0.47","0.47","3"
"110CYL068_2525_2582","3.0","2.8","3.0","0.0","0.4","0.0","5"
"110CYL068_2589_2593","3.0","3.0","3.0","0.0","0.0","0.0","2"
"110CYL068_2594_2642","4.0","3.0","3.5","0.0","0.0","0.5","2"
"110CYL068_2643_2750","4.0","3.4","3.6","0.0","0.49","0.49","5"
"110CYL068_2751_2841","3.25","3.25","3.25","0.43","0.43","0.43","4"
"110CYL068_276_386","3.2","3.0","3.2","0.4","0.0","0.4","5"
"110CYL068_31_156","3.6","3.0","3.2","0.8","0.63","0.4","5"
"110CYL068_387_522","3.6","3.6","3.6","0.8","0.49","0.49","5"
"110CYL068_523_653","3.8","3.4","3.6","0.4","0.49","0.49","5"
"110CYL068_660_695","3.0","2.17","2.67","0.0","0.9","0.75","6"
"110CYL068_702_771","3.5","3.0","3.0","0.5","0.0","0.0","2"
"110CYL068_778_1035","3.5","3.5","3.5","0.5","0.5","0.5","2"
"110CYL069_1152_1284","3.8","3.6","3.6","0.98","0.8","0.49","5"
"110CYL069_1285_1401","3.5","3.0","3.0","0.5","0.0","0.0","2"
"110CYL069_1402_1477","3.2","2.8","3.4","0.4","0.4","0.49","5"
"110CYL069_1478_1554","3.33","3.0","3.0","0.47","0.0","0.0","3"
"110CYL069_1561_1631","3.0","3.2","3.4","0.63","0.75","0.49","5"
"110CYL069_1638_1786","3.6","3.4","3.2","0.8","1.02","0.4","5"
