trial1-V	trial1-A	trial1-D	trial2-V	trial2-A	trial2-D	trial3-V	trial3-A	trial3-D	10787-V	10787-A	10787-D	 140-V	 140-A	 140-D	 9346-V	 9346-A	 9346-D	 7558-V	 7558-A	 7558-D	 5510-V	 5510-A	 5510-D	 2024-V	 2024-A	 2024-D	 8861-V	 8861-A	 8861-D	 11307-V	 11307-A	 11307-D	 10826-V	 10826-A	 10826-D	 2477-V	 2477-A	 2477-D	 6318-V	 6318-A	 6318-D	 6691-V	 6691-A	 6691-D	 9893-V	 9893-A	 9893-D	 4838-V	 4838-A	 4838-D	 9646-V	 9646-A	 9646-D	 5045-V	 5045-A	 5045-D	 4321-V	 4321-A	 4321-D	 5273-V	 5273-A	 5273-D	 4080-V	 4080-A	 4080-D	 2172-V	 2172-A	 2172-D	 11496-V	 11496-A	 11496-D	 978-V	 978-A	 978-D	 5522-V	 5522-A	 5522-D	 6677-V	 6677-A	 6677-D	 3240-V	 3240-A	 3240-D	 8705-V	 8705-A	 8705-D	 4573-V	 4573-A	 4573-D	 11042-V	 11042-A	 11042-D	 10545-V	 10545-A	 10545-D	 9211-V	 9211-A	 9211-D	 1301-V	 1301-A	 1301-D	 11038-V	 11038-A	 11038-D	 3534-V	 3534-A	 3534-D	 3678-V	 3678-A	 3678-D	 11108-V	 11108-A	 11108-D	 8456-V	 8456-A	 8456-D	 8711-V	 8711-A	 8711-D	 1523-V	 1523-A	 1523-D	 8658-V	 8658-A	 8658-D	 6831-V	 6831-A	 6831-D
9	9	9	1	9	5	7	7	7	2	5	9	5	5	5	5	5	6	1	5	5	5	5	5	5	5	5	4	5	5	1	3	9	1	1	8	9	9	5	4	6	5	6	3	7	5	5	5	2	5	5	4	5	5	3	4	3	4	6	5	8	5	4	2	5	8	1	1	1	3	4	3	2	5	5	4	2	2	6	5	4	1	5	4	7	6	5	2	3	2	1	3	3	2	3	3	5	1	5	8	5	6	2	4	4	9	9	9	3	6	5	7	3	3	3	5	5	6	5	5	5	5	6	3	3	3	6	5	5
8	8	7	6	7	8	6	8	7	7	7	8	7	7	7	7	8	8	7	7	7	7	8	8	8	8	8	7	7	8	8	8	8	6	7	7	8	7	8	7	8	8	8	8	8	7	8	8	7	7	7	8	7	8	7	8	9	9	9	9	8	8	8	7	7	7	9	9	8	7	8	8	8	8	8	7	8	8	7	5	5	6	7	7	8	8	8	7	7	7	6	7	7	7	8	8	7	7	8	6	7	7	6	6	7	6	7	7	6	6	7	5	6	7	8	8	8	7	7	7	7	7	7	7	8	7	8	7	7
9	9	9	1	9	5	7	6	1	6	6	5	6	5	4	4	5	5	1	1	1	5	5	5	5	5	5	1	1	1	3	3	3	5	4	5	6	5	5	3	4	4	3	4	4	5	5	5	3	4	5	1	1	1	4	3	3	3	3	3	5	5	5	5	5	5	3	4	4	4	4	4	3	4	5	3	4	4	2	3	4	5	4	5	6	5	4	4	4	5	1	1	1	6	6	6	5	5	5	5	5	5	5	4	4	5	4	4	5	5	4	5	5	5	4	4	6	1	1	1	5	5	4	4	6	4	5	5	5
9	9	9	1	9	5	4	4	9	4	3	3	3	4	3	2	3	3	2	3	2	2	3	2	2	3	3	3	4	3	2	3	2	2	3	2	3	4	3	2	3	2	2	3	3	2	3	2	5	6	5	2	3	2	3	4	3	4	5	4	6	5	6	4	5	4	7	6	6	2	3	3	7	6	7	6	5	6	3	3	2	7	6	7	2	3	2	5	6	5	2	3	2	7	6	7	2	3	2	6	5	6	2	3	2	5	4	5	7	6	6	2	3	3	2	3	3	4	3	3	7	6	7	4	5	6	3	4	3
2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	3	3	3	4	4	4	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	3	3	3
9	9	9	1	9	5	6	4	1	5	4	4	4	5	2	5	2	4	5	5	5	5	5	4	4	4	4	6	3	4	2	3	3	1	1	3	7	5	4	5	5	5	5	4	5	6	5	5	1	1	1	2	1	3	3	3	5	2	2	2	4	3	4	6	4	4	6	4	4	4	2	2	6	4	4	6	3	4	1	3	4	3	2	2	1	2	2	2	3	3	3	4	4	8	6	7	1	2	2	6	3	4	4	2	3	7	6	5	6	2	6	3	5	5	3	3	3	4	5	5	7	5	7	7	5	5	5	4	5
9	9	9	1	9	5	6	6	1	4	4	5	5	5	5	5	4	5	4	6	5	5	5	5	6	5	5	4	6	5	4	4	5	2	6	5	6	6	5	5	5	5	3	5	5	3	5	5	3	5	5	4	5	5	4	5	5	6	6	5	6	4	5	5	5	5	6	6	5	4	4	5	4	4	5	6	5	5	4	3	5	6	6	5	4	5	5	4	5	5	5	5	5	6	5	5	4	4	5	6	5	5	4	4	5	6	5	5	4	5	5	4	4	5	5	5	5	4	4	5	6	6	5	4	4	5	4	5	5
9	9	9	1	9	5	7	7	9	5	5	4	5	5	5	4	1	1	1	1	1	9	9	9	6	5	3	5	1	2	1	1	1	1	1	1	9	9	9	1	1	1	1	1	2	2	2	8	1	5	2	1	1	1	1	1	1	9	6	4	9	9	6	1	1	1	1	7	5	1	1	1	9	9	9	8	7	6	1	4	1	9	9	3	1	1	1	2	7	5	1	1	1	9	9	9	1	1	1	9	9	9	5	5	4	9	9	9	9	9	9	1	1	1	6	7	4	1	1	1	9	9	9	6	7	3	3	2	1
9	9	9	1	9	5	6	5	1	4	1	2	5	3	2	3	1	3	1	1	1	5	5	5	7	4	6	3	1	2	4	1	3	1	1	2	9	5	6	2	2	1	5	3	2	5	2	3	1	1	1	2	1	1	4	2	2	8	5	5	7	6	5	5	4	3	6	2	2	4	2	2	8	2	6	7	3	5	3	1	2	8	1	2	2	1	1	6	2	3	5	6	3	8	5	6	1	2	2	9	7	6	2	1	3	9	5	5	9	6	6	2	1	2	3	1	2	4	5	3	9	1	6	7	6	6	2	1	1
3	4	5	6	5	4	6	5	4	5	4	6	5	4	3	2	1	5	4	4	4	4	3	2	5	4	3	5	4	2	2	3	2	3	4	3	4	3	4	3	2	3	2	3	2	4	4	4	3	4	3	4	5	4	4	5	4	3	2	3	4	3	4	2	3	4	2	3	2	4	5	4	3	4	3	4	4	4	3	4	3	4	3	3	4	4	3	2	2	2	3	4	3	3	3	3	3	2	3	3	4	4	4	4	4	3	4	3	3	3	3	3	2	2	3	4	3	6	5	2	4	3	4	4	3	2	3	2	2
9	9	9	1	9	5	6	6	9	2	2	7	7	7	7	3	3	5	7	7	8	5	5	5	8	7	8	5	3	7	4	3	8	2	2	6	8	8	8	2	2	4	3	3	5	2	2	7	3	4	6	3	2	6	3	2	7	7	7	8	8	8	8	7	7	7	9	9	9	5	5	5	9	9	9	8	8	8	5	5	5	8	8	9	3	2	5	7	7	7	6	6	6	9	9	9	2	2	6	9	9	9	2	2	7	9	9	9	9	9	9	3	3	6	2	2	8	5	5	6	9	9	9	5	5	7	4	3	8
